0
"Average rating  as of Oct 6, 2020"
"Cook  Sept 29, 2020  [294]"
"IE  Sept 4, 2020  [295]"
"Sabato  Oct 1, 2020  [296]"
"Politico  Sept 8, 2020  [297]"
"RCP  Sept 30, 2020  [298]"
"Niskanen  Sept 15, 2020  [299]"
"CNN  Sep 20, 2020  [300]"
"The Economist  Oct 4, 2020  [301]"
"CBS News  Aug 16, 2020  [302]"
"270toWin  Sept 25, 2020  [303]"
"ABC News  Oct 6, 2020  [304]"
"NPR  Aug 3, 2020  [305]"
"NBC News  Aug 6, 2020  [306]"
"FiveThirtyEight  [d]  Oct 2, 2020  [307]"
"CNalysis  Oct 6, 2020  [308]"
